id,forward_force_mean,right_force_mean,angular_velocity_mean,value
0,0,400,0,0.8448317120703965
1,-400,0,0,1.5177175005520551
2,-400,0,0,0.9628605110859838
3,-400,0,0,0.3788005221743298
4,-400,0,0,-0.23599946615372702
5,-400,-400,0,-0.8831573486043132
6,0,-400,0,-2.1959551760724882
7,0,0,0,-2.9462686222030094
8,400,0,0,-3.104493286311848
9,400,400,0,-2.6394667082713603
10,400,400,0,-1.5183860433401306
11,400,-400,0,-0.3383011328862047
12,0,-400,0,-0.3592643501888959
13,0,400,0,-1.0129098581150173
14,0,400,0,-0.43779994174838066
