id,forward_force_mean,right_force_mean,angular_velocity_mean,value
0,0,0,0,29.592696028344733
1,0,0,-200,31.153380302028467
2,0,0,-200,32.79618979139128
3,0,0,-200,34.52546293808897
4,400,0,0,36.34575046092865
5,400,0,0,38.26184259023358
6,400,0,0,40.27878167371245
7,400,0,0,42.401875445795476
8,0,400,200,44.63671099535655
9,0,400,0,46.98916946857874
10,0,0,200,42.25413725656197
11,0,0,200,39.78770622214714
12,700,0,0,41.60375854618742
13,700,0,0,24.952159477350122
14,700,0,0,-11.286850401103493
15,700,0,0,-37.056563473939896
16,700,0,0,-37.57703003883362
17,0,0,0,-5.0452165603637695
