id,forward_force_mean,right_force_mean,angular_velocity_mean,value
0,0,0,0,-24.776084085179882
1,0,0,-200,-26.07693864713807
2,0,0,-200,-27.446251207731397
3,400,0,200,-28.887632850461213
4,400,0,-200,-30.40487668491365
5,400,400,200,-32.00197545802148
6,0,0,200,-33.68313206129287
7,700,0,0,-35.45277059105224
8,700,0,0,-37.31554799079895
9,700,0,0,-18.86894130706787
